Siruta,Localitate,Categorie dominanta
29038,Derna,Barbati_45-64
29092,Diosig,Femei_45-64
29154,Dobresti,Barbati_45-64
29243,Draganesti,Barbati_45-64
29341,Dragesti,Femei_45-64
29403,Finis,Barbati_45-64
29467,Girisu De Cris,Barbati_45-64
29519,Hidiselu De Sus,Barbati_45-64
29573,Holod,Barbati_45-64
29662,Husasau De Tinca,Barbati_45-64
29724,Ineu,Barbati_45-64
29760,Lazuri De Beius,Barbati_45-64
29813,Lazareni,Barbati_45-64
29902,Lugasu De Jos,Barbati_45-64
29948,Lunca,Barbati_45-64
30014,Madaras,Barbati_45-64
30069,Magesti,Barbati_45-64
30149,Nojorid,Barbati_45-64
30229,Olcea,Barbati_45-64
30274,Osorhei,Barbati_45-64
30336,Pietroasa,Barbati_45-64
30416,Pocola,Barbati_45-64
30470,Pomezeu,Barbati_45-64
30568,Popesti,Barbati_45-64
30648,Rabagani,Barbati_45-64
30719,Remetea,Barbati_45-64
30773,Rieni,Barbati_45-64
30844,Rosia,Barbati_45-64
30871,Sacadat,Barbati_45-64
30915,Oras Sacueni,Barbati_45-64
30988,Salacea,Femei_45-64
31011,Salard,Barbati_45-64
31057,Sambata,Barbati_45-64
31128,Sarbi,Barbati_45-64
31208,Spinus,Femei_45-64
31262,Suplacu De Barcau,Barbati_45-64
31333,Simian,Barbati_45-64
31379,Sinteu,Femei_45-64
31422,Soimi,Barbati_45-64
31510,Suncuius,Barbati_45-64
31565,Tarcea,Femei_45-64
31609,Tarcaia,Barbati_45-64
31654,Tauteu,Barbati_45-64
31716,Tileagd,Barbati_45-64
31789,Tinca,Barbati_45-64
31841,Tulca,Femei_45-64
31878,Tetchea,Barbati_45-64
31921,Uileacu De Beius,Barbati_45-64
31976,Vadu Crisului,Barbati_45-64
32027,Oras Valea Lui Mihai,Femei_45-64
32045,Viisoara,Barbati_45-64
32090,Varciorog,Barbati_45-64
32153,Tamaseu,Barbati_45-64
32161,Paleu,Barbati_45-64
32179,Sannicolau Roman,Barbati_45-64
32187,Rosiori,Barbati_45-64
32195,Gepiu,Barbati_45-64
32201,Toboliu,Barbati_45-64
32394,Municipiul Bistrita,Femei_45-64
32483,Oras Beclean,Femei_45-64
32544,Oras Nasaud,Femei_45-64
32599,Oras Sangeorz-Bai,Femei_45-64
32633,Bistrita Bargaului,Femei_45-64
32660,Branistea,Barbati_45-64
32704,Budacu De Jos,Barbati_45-64
32768,Budesti,Barbati_45-64
32811,Caianu Mic,Femei_65_
32884,Cetate,Barbati_45-64
32955,Ciceu-Giurgesti,Barbati_45-64
33015,Chiochis,Barbati_45-64
33122,Chiuza,Barbati_45-64
33177,Cosbuc,Barbati_45-64
33202,Dumitra,Barbati_45-64
33248,Feldru,Barbati_45-64
33275,Galatii Bistritei,Barbati_45-64
33337,Ilva Mare,Barbati_45-64
33364,Ilva Mica,Barbati_45-64
33382,Josenii Bargaului,Barbati_45-64
33435,Lechinta,Barbati_45-64
33514,Lesu,Barbati_45-64
33541,Livezile,Barbati_45-64
33603,Lunca Ilvei,Barbati_45-64
33621,Maieru,Barbati_45-64
33658,Matei,Barbati_45-64
33729,Magura Ilvei,Barbati_45-64
33765,Mariselu,Barbati_45-64
33845,Micestii De Campie,Barbati_45-64
33881,Milas,Barbati_45-64
33952,Monor,Barbati_45-64
33989,Nimigea,Barbati_45-64
34075,Nuseni,Barbati_45-64
34155,Parva,Barbati_45-64
34173,Petru Rares,Barbati_45-64
34235,Prundu Bargaului,Barbati_45-64
34262,Rebra,Femei_45-64
34280,Rebrisoara,Barbati_45-64
34333,Rodna,Barbati_45-64
34360,Romuli,Barbati_45-64
34397,Salva,Femei_45-64
34422,Silivasu De Campie,Barbati_45-64
34477,Sanmihaiu De Campie,Barbati_45-64
34547,Spermezeu,Barbati_45-64
34618,Sant,Femei_45-64
34645,Sieu,Femei_45-64
34690,Sieu-Magherus,Barbati_45-64
34770,Sieu-Odorhei,Barbati_45-64
34850,Sieut,Barbati_45-64
34903,Sintereag,Barbati_45-64
34985,Teaca,Barbati_45-64
35054,Telciu,Barbati_45-64
35090,Tiha Bargaului,Barbati_45-64
35152,Tarlisua,Barbati_45-64
35269,Uriu,Barbati_45-64
35312,Urmenis,Barbati_45-64
35429,Zagra,Barbati_45-64
35731,Municipiul Botosani,Femei_45-64
35759,Curtesti,Barbati_45-64
35839,Rachiti,Barbati_45-64
35884,Stauceni,Barbati_45-64
35946,Oras Darabani,Barbati_45-64
36006,Municipiul Dorohoi,Femei_45-64
36060,Oras Saveni,Barbati_45-64
36131,Albesti,Barbati_45-64
36202,Avrameni,Barbati_45-64
36300,Baluseni,Barbati_45-64
36373,Braesti,Barbati_45-64
36426,Broscauti,Barbati_45-64
36453,Oras Bucecea,Barbati_45-64
36499,Calarasi,Barbati_45-64
36532,Concesti,Barbati_45-64
36569,Copalau,Barbati_45-64
36649,Cordareni,Barbati_45-64
36676,Corlateni,Barbati_45-64
36756,Corni,Barbati_45-64
36809,Cotusca,Barbati_45-64
36907,Cristesti,Barbati_45-64
36952,Cristinesti,Barbati_45-64
37011,Dersca,Barbati_45-64
37057,Dangeni,Barbati_45-64
37100,Dobarceni,Barbati_45-64
37173,Draguseni,Barbati_45-64
37217,Durnesti,Barbati_45-64
37280,Oras Flamanzi,Barbati_45-64
37324,Frumusica,Barbati_45-64
37397,George Enescu,Barbati_45-64
37459,Gorbanesti,Barbati_45-64
37547,Havarna,Barbati_45-64
37618,Hanesti,Barbati_45-64
37672,Hiliseu-Horia,Barbati_45-64
37734,Hlipiceni,Barbati_45-64
37770,Hudesti,Barbati_45-64
37823,Ibanesti,Barbati_45-64
37850,Leorda,Barbati_45-64
37912,Lunca,Femei_65_
37958,Manoleasa,Barbati_45-64
38063,Mihai Eminescu,Barbati_45-64
38161,Mihaileni,Barbati_45-64
38241,Mihalaseni,Barbati_45-64
38321,Mileanca,Barbati_45-64
38376,Mitoc,Barbati_45-64
38456,Nicseni,Barbati_45-64
38492,Paltinis,Barbati_45-64
38544,Pomarla,Barbati_45-64
38580,Prajeni,Barbati_45-64
38633,Radauti-Prut,Barbati_45-64
38679,Rauseni,Barbati_45-64
38731,Ripiceni,Barbati_45-64
38811,Roma,Barbati_45-64
38848,Romanesti,Barbati_45-64
38893,Santa Mare,Barbati_45-64
38982,Suharau,Barbati_45-64
39051,Sulita,Barbati_45-64
39122,Sendriceni,Barbati_45-64
39168,Oras Stefanesti,Barbati_45-64
39220,Stiubieni,Femei_65_
39266,Todireni,Barbati_45-64
39328,Trusesti,Barbati_45-64
39391,Tudora,Barbati_45-64
39417,Ungureni,Barbati_45-64
39532,Unteni,Barbati_45-64
39612,Vaculesti,Barbati_45-64
39658,Viisoara,Barbati_45-64
39694,Varfu Campului,Barbati_45-64
39738,Vladeni,Barbati_45-64
39792,Vlasinesti,Barbati_45-64
39836,Vorniceni,Barbati_45-64
39872,Vorona,Barbati_45-64
39942,Lozna,Barbati_45-64
39959,Dimacheni,Barbati_45-64
39967,Candesti,Barbati_45-64
39975,Cosula,Barbati_45-64
39983,Blandesti,Barbati_65_
40035,Adaseni,Barbati_45-64
40198,Municipiul Brasov,Femei_45-64
40214,Oras Ghimbav,Barbati_45-64
40241,Municipiul Codlea,Barbati_45-64
40278,Municipiul Fagaras,Femei_45-64
40303,Oras Predeal,Femei_45-64
40367,Oras Rasnov,Barbati_45-64
40394,Oras Rupea,Barbati_45-64
40438,Municipiul Sacele,Femei_45-64
40465,Oras Victoria,Femei_45-64
40492,Oras Zarnesti,Femei_45-64
40526,Apata,Barbati_45-64
40544,Beclean,Barbati_45-64
40606,Bod,Femei_45-64
40633,Bran,Femei_45-64
40688,Budila,Barbati_45-64
40704,Bunesti,Femei_45-64
40768,Cata,Barbati_45-64
40820,Cincu,Barbati_45-64
40857,Comana,Barbati_45-64
40900,Cristian,Barbati_45-64
40928,Dumbravita,Barbati_45-64
40955,Feldioara,Barbati_45-64
40991,Fundata,Barbati_45-64
41033,Halchiu,Femei_45-64
41088,Harman,Barbati_45-64
