Siruta,Localitate,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare
123521,Pipirig,0.0,0.0,0.0,0.0,0.0,0.0
148097,Dolhesti,0.0,0.0,0.0,1000.0,0.0,28716.0
25228,Saucesti,301517.0,0.0,0.0,494947.0,1.117528E7,0.0
107154,Baiut,0.0,0.0,0.0,0.0,0.0,207675.0
41621,Poiana Marului,0.0,0.0,0.0,0.0,0.0,0.0
156311,Cheveresu Mare,440.0,0.0,0.0,0.0,0.0,0.0
66198,Baleni,0.0,0.0,0.0,0.0,0.0,0.0
58008,Iara,90433.0,0.0,0.0,0.0,0.0,0.0
172698,Rosiile,0.0,0.0,0.0,0.0,0.0,0.0
17049,Malureni,0.0,0.0,0.0,6175.0,0.0,0.0
33435,Lechinta,725669.0,2200289.0,0.0,3.8126755E7,0.0,0.0
148131,Dorna-Arini,0.0,0.0,0.0,0.0,0.0,0.0
139937,Agrij,3600.0,0.0,0.0,0.0,0.0,4865.0
74411,Teslui,1871132.0,0.0,0.0,0.0,0.0,2764161.0
66223,Barbuletu,0.0,0.0,0.0,0.0,0.0,0.0
90805,Ribita,0.0,0.0,0.0,0.0,0.0,0.0
98998,Scobinti,5222735.0,0.0,0.0,5808.0,0.0,192106.0
107190,Basesti,0.0,0.0,0.0,4489245.0,0.0,0.0
82617,Oras Turceni,0.0,0.0,0.0,0.0,0.0,467417.0
49849,Tintesti,3548812.0,0.0,0.0,31955.0,51584.0,3800.0
115389,Band,61000.0,0.0,0.0,1.3727862E7,1119187.0,39657.0
164543,Ivesti,0.0,0.0,0.0,0.0,0.0,0.0
41667,Prejmer,3545588.0,0.0,0.0,235158.0,0.0,0.0
156357,Oras Ciacova,2847586.0,0.0,0.0,0.0,6098469.0,0.0
25291,Scorteni,0.0,0.0,0.0,0.0,0.0,0.0
139982,Almasu,0.0,0.0,0.0,0.0,0.0,0.0
17101,Merisani,0.0,0.0,0.0,0.0,0.0,0.0
123601,Pangarati,62719.0,0.0,0.0,78648.0,0.0,0.0
107234,Bicaz,0.0,0.0,0.0,0.0,0.0,557485.0
41701,Racos,0.0,0.0,0.0,0.0,0.0,0.0
49894,Ulmeni,1554700.0,0.0,0.0,1974446.0,0.0,162443.0
148202,Dorna Candrenilor,0.0,0.0,0.0,0.0,0.0,0.0
33514,Lesu,0.0,0.0,0.0,0.0,0.0,0.0
131817,Oras Valenii De Munte,6160.0,0.0,0.0,0.0,0.0,0.0
99058,Sinesti,0.0,0.0,0.0,0.0,0.0,0.0
164598,Laza,2623969.0,0.0,0.0,0.0,0.0,0.0
82680,Tantareni,0.0,0.0,0.0,0.0,0.0,0.0
131835,Gura Vitioarei,0.0,0.0,0.0,0.0,0.0,0.0
90878,Rau De Mori,304317.0,0.0,0.0,4553841.0,0.0,0.0
33541,Livezile,31985.0,0.0,0.0,3.9439774E7,0.0,0.0
107270,Bistra,0.0,0.0,0.0,0.0,0.0,0.0
41738,Recea,0.0,121704.0,0.0,0.0,0.0,0.0
74509,Tuglui,0.0,0.0,0.0,0.0,0.0,0.0
172812,Runcu,0.0,0.0,0.0,59820.0,0.0,0.0
25362,Secuieni,397053.0,0.0,0.0,0.0,0.0,0.0
156437,Comlosu Mare,2.0941923E7,0.0,0.0,8967032.0,0.0,140832.0
66330,Bezdead,0.0,0.0,0.0,0.0,0.0,0.0
123674,Podoleni,1314066.0,0.0,0.0,0.0,0.0,610683.0
99101,Siretel,0.0,0.0,0.0,0.0,73801.0,0.0
58142,Iclod,0.0,0.0,0.0,207164.0,0.0,48815.0
49956,Vadu Pasii,1156161.0,0.0,0.0,0.0,0.0,0.0
74536,Unirea,9837215.0,0.0,0.0,0.0,0.0,1506214.0
82733,Urdari,0.0,0.0,0.0,0.0,0.0,0.0
107314,Barsana,0.0,0.0,0.0,0.0,0.0,0.0
140084,Babeni,118849.0,0.0,0.0,0.0,0.0,0.0
17209,Micesti,0.0,0.0,0.0,473689.0,0.0,0.0
131899,Adunati,0.0,0.0,0.0,0.0,0.0,0.0
9019,Cut,0.0,0.0,0.0,47048.0,0.0,0.0
74554,Urzicuta,1848209.0,0.0,0.0,0.0,0.0,0.0
156473,Costeiu,901502.0,0.0,0.0,0.0,0.0,0.0
123709,Poienari,0.0,0.0,0.0,0.0,0.0,0.0
115520,Batos,628841.0,2371595.0,0.0,5036037.0,176513.0,0.0
9026,Bucerdea Granoasa,181495.0,107213.0,0.0,0.0,0.0,15775.0
33603,Lunca Ilvei,0.0,0.0,0.0,0.0,3685.0,0.0
148293,Dornesti,3086348.0,0.0,0.0,319122.0,0.0,0.0
164687,Lipovat,4684729.0,0.0,0.0,4.4308176E7,0.0,0.0
74581,Valea Stanciului,3841007.0,0.0,0.0,0.0,0.0,258370.0
33621,Maieru,68638.0,0.0,0.0,2080.0,0.0,0.0
107350,Bocicoiu Mare,0.0,0.0,0.0,0.0,0.0,0.0
41818,Sercaia,247559.0,0.0,0.0,6.6940419E7,7258.0,0.0
82779,Vagiulesti,0.0,0.0,0.0,0.0,0.0,0.0
58204,Izvoru Crisului,0.0,0.0,0.0,0.0,0.0,0.0
99165,Stolniceni-Prajescu,969869.0,0.0,0.0,0.0,0.0,0.0
172894,Salatrucel,0.0,0.0,0.0,0.0,0.0,0.0
131933,Albesti-Paleologu,2.9243399E7,0.0,0.0,2.5833244E7,0.0,0.0
66401,Bilciuresti,2202217.0,0.0,0.0,0.0,0.0,84360.0
17254,Mihaesti,28244.0,0.0,0.0,0.0,0.0,0.0
