Siruta,Localitate,CA_capita
108240,Leordina,0.0
42708,Chiscani,9148.227861211808
116439,Cuci,636.2849218356026
124634,Tamaseni,203.72743755036262
67292,Dobra,1641.3207599118944
141027,Dragu,0.0
26338,Buciumi,0.0
173793,Susani,0.0
149227,Oras Liteni,34.08350226855874
165611,Pungesti,48.30082987551867
26346,Gioseni,0.0
50923,Oras Baile Herculane,0.0
132841,Cosminele,0.0
108268,Miresu Mare,1105.164138790775
26353,Odobesti,0.0
18162,Popesti,1001.2125124131082
157424,Jebel,480.50319888734356
34547,Spermezeu,131.06039735099338
124661,Timisesti,635.9778265107212
100086,Vanatori,315.5162592986185
26361,Prajesti,0.0
59130,Recea-Cristur,166.21666666666667
75515,Barcea,85.177808727948
67327,Dragodana,1303.4159331642547
42753,Oras Faurei,362.39057899901866
1794,Oras Ocna Mures,81.15319991803838
157451,Lenauheim,4410.986211219054
26379,Itesti,3080.5383589059375
116493,Danes,275.14020329477745
42771,Surdila-Greci,20897.678736010534
10006,Birchis,679.5198517734251
75542,Balabanesti,528.6036821705426
50969,Oras Bocsa,4103.952974947808
141081,Fildu De Jos,0.0
173855,Tetoiu,0.0
91937,Valisoara,0.0
132896,Drajna,0.0
83749,Oras Vlahita,0.06536802196365538
149290,Marginea,34.76313172407558
50987,Ocna De Fier,0.0
124723,Trifesti,2588.1185068141417
100148,Vladeni,3706.4582581227437
34618,Sant,0.0
157497,Liebling,3666.7386503067482
108348,Moisei,0.0
116545,Deda,0.0
18242,Priboieni,0.0
51010,Municipiul Caransebes,141.05876764831132
10051,Barsa,13.854961832061068
149316,Malini,0.0
42824,Baraganul,5013.152160300564
83785,Atid,75.77626016260163
141134,Galgau,18.79843363561418
67407,Dragomiresti,0.0
91982,Vetel,49522.32432432433
108366,Oarta De Jos,5773.736263736264
124750,Tupilati,88.48246013667426
1874,Municipiul Sebes,263.20026419267634
34645,Sieu,6.415497661990648
165719,Rebricea,0.0
157530,Lovrin,2578.9486997635936
42842,Bertestii De Jos,2067.4220654265555
75613,Balasesti,15.052765957446809
59238,Risca,132.1091030789826
173935,Tomsani,0.0
116590,Eremitu,1.773004637539663
51056,Oras Moldova Noua,201.84852507374632
108400,Ocna Sugatag,0.0
10104,Barzava,116.09398348407393
149370,Manastirea Humorului,0.0
100219,Voinesti,267.6527915019763
34690,Sieu-Magherus,173.95679964734407
124803,Tibucani,0.0
83847,Avramesti,145.25709156193895
67470,Finta,589.5449505905037
1936,Oras Zlatna,92.57411587659895
59283,Sacuieu,20.400267737617135
157585,Margina,108.88533916849015
75668,Baleni,0.0
133018,Draganesti,1892.3639532499487
18331,Ratesti,360.085182767624
42913,Bordei Verde,3068.8234421364987
149414,Moara,1096.3003966822935
108455,Petrova,0.0
75686,Baneasa,0.0
