Siruta,Localitate,CA_Totala
18411,Recea,0.0
100335,Rachiteni,1687115.0
157683,Masloc,6595451.0
116723,Faragau,2433521.0
75766,Brahasesti,143818.0
100344,Roscani,2868813.0
83963,Capalnita,0.0
149502,Moldova-Sulita,101907.0
10239,Brazii,0.0
100353,Valea Lupului,5555802.0
141312,Halmasd,0.0
51207,Oras Otelu Rosu,170647.0
174085,Valea Mare,23400.0
108552,Remeti,0.0
165899,Solesti,1312322.0
67595,Gura Ocnitei,235123.0
43019,Ciresu,15161342.0
100362,Ciohorani,874939.0
124938,Alexandru Cel Bun,1651.0
83981,Ciucsangeorgiu,64792.0
92177,Zam,0.0
59416,Sic,0.0
26653,Santandrei,138401735.0
149539,Moldovita,860502.0
34850,Sieut,669661.0
59434,Sancraiu,1441387.0
75819,Buciumeni,741533.0
157736,Manastiur,0.0
18475,Rociu,4674978.0
51243,Armenis,0.0
133161,Filipestii De Padure,193018.0
10293,Buteni,2700.0
108598,Repedea,0.0
116796,Fantanele,4943311.0
43073,Dudesti,7634780.0
67648,Gura Sutii,665457.0
141376,Hereclean,288318.0
108614,Rona De Jos,0.0
26699,Oras Alesd,4700825.0
174156,Vladesti,0.0
2130,Albac,0.0
149584,Musenita,2674806.0
34903,Sintereag,573741.0
157781,Moravita,729453.0
75864,Cavadinesti,1677535.0
108632,Rona De Sus,0.0
125016,Vanatori-Neamt,1110395.0
165979,Stanilesti,27615.0
67675,Hulubesti,0.0
133214,Filipestii De Targ,979634.0
18527,Rucar,0.0
51305,Bania,0.0
10346,Carand,262908.0
59498,Sanmartin,42796.0
43117,Frecatei,0.0
26742,Astileu,8000.0
84086,Ciumani,0.0
18554,Salatrucu,0.0
108669,Rozavlea,0.0
116867,Galesti,2666244.0
51332,Bautar,0.0
125061,Zanesti,30331374.0
10373,Cermei,905544.0
141447,Hida,0.0
84102,Carta,2888211.0
157834,Mosnita Noua,9765316.0
174218,Voicesti,107751.0
75917,Certesti,3730801.0
18581,Sapata,0.0
149655,Ostra,504875.0
67737,I. L. Caragiale,455590.0
108696,Ruscova,0.0
133278,Fantanele,0.0
100521,Municipiul Giurgiu,84663678.0
34985,Teaca,1179680.0
108712,Satulung,3019001.0
125098,Dochia,9615353.0
166057,Stefan Cel Mare,2775448.0
43180,Galbenu,1785186.0
174254,Voineasa,0.0
75953,Corod,25169567.0
125105,Ruginoasa,1190980.0
149682,Panaci,1344059.0
10417,Chisindia,0.0
26804,Municipiul Beius,24000.0
84148,Corbu,0.0
51387,Berliste,19826022.0
125114,Ghindaoani,0.0
67773,Lucieni,0.0
59586,Sanpaul,2712849.0
125123,Valeni,1104633.0
100549,Slobozia,9741819.0
157898,Nadrag,0.0
116938,Ganesti,7843320.0
125132,Draganesti,0.0
84175,Corund,19101.0
133330,Floresti,357581.0
174290,Zatreni,340203.0
125141,Pancesti,0.0
10453,Conop,2940321.0
26840,Oras Stei,3421851.0
141535,Horoatu Crasnei,0.0
125150,Gadinti,1759928.0
100576,Oras Buftea,9666947.0
157923,Nitchidorf,0.0
76004,Corni,4710446.0
43242,Gemenele,3285639.0
18670,Schitu Golesti,0.0
35054,Telciu,0.0
125169,Negresti,23885.0
116983,Gheorghe Doja,733667.0
51449,Berzasca,0.0
67835,Ludesti,0.0
108794,Sacalaseni,5460670.0
125178,Boghicea,172103.0
149753,Paltinoasa,0.0
166137,Suletea,484527.0
26877,Municipiul Marghita,15671893.0
100610,Municipiul Oltenita,131251490.0
2309,Almasu Mare,0.0
59657,Suatu,0.0
76040,Cosmesti,1187208.0
84237,Danesti,0.0
141580,Ileanda,159240.0
43279,Gradistea,233737.0
133394,Fulga,1334799.0
10514,Covasint,0.0
35090,Tiha Bargaului,126016.0
157969,Ohaba Lunga,0.0
149780,Partestii De Jos,0.0
100638,Mitreni,280600.0
10532,Craiva,148110.0
166182,Tanacu,303680.0
26920,Oras Nucet,0.0
84264,Dealu,875943.0
51500,Berzovia,7004166.0
59693,Tritenii De Jos,0.0
43313,Gropeni,89371597.0
117042,Ghindari,3391641.0
18741,Slobozia,160991348.0
133429,Gherghita,14779777.0
158010,Ortisoara,35057694.0
43331,Oras Ianca,49714937.0
67906,Lunguletu,0.0
100683,Municipiul Urziceni,65385818.0
108874,Sacel,0.0
149833,Patrauti,1710955.0
2381,Arieseni,0.0
76111,Costache Negri,3527737.0
35152,Tarlisua,0.0
149851,Poiana Stampei,0.0
166235,Tacuta,338453.0
18778,Stalpeni,0.0
51546,Bolvasnita,0.0
108892,Oras Salistea De Sus,0.0
26975,Municipiul Salonta,29224850.0
100709,Ciocarlia,6845501.0
67942,Malu Cu Flori,11036.0
76139,Cuca,4678364.0
158065,Peciu Nou,19403749.0
59764,Tureni,551521.0
51573,Bozovici,623343.0
108918,Salsig,0.0
117113,Glodeni,0.0
84344,Ditrau,691965.0
76157,Cudalbi,5254870.0
27007,Oras Vascau,7220.0
100736,Manasia,0.0
133508,Gorgota,20913950.0
76175,Draguseni,0.0
108945,Sapanta,0.0
43411,Oras Insuratei,31483861.0
100754,Adancata,305723.0
92569,Municipiul Calarasi,219447668.0
141722,Ip,3733590.0
10649,Dezna,0.0
84380,Darjiu,68707.0
158109,Periam,22082068.0
108963,Oras Seini,40701119.0
125347,Municipiul Slatina,57563775.0
174496,Titesti,0.0
68002,Manesti,586489.0
174502,Diculesti,368335.0
149931,Pojorata,180177.0
166315,Tatarani,1242327.0
18858,Stoenesti,256871.0
92587,Modelu,4278691.0
51626,Brebu,0.0
100781,Adunatii-Copaceni,32180874.0
174511,Lacusteni,0.0
59826,Taga,2596252.0
117177,Gornesti,439376.0
133562,Gornet,0.0
158136,Pietroasa,0.0
174520,Mitrofani,0.0
27070,Abram,9365909.0
84415,Frumoasa,0.0
